Input_data,Angle,Evaluation
"[237.851, -172.809, 0.031, 656.381, 810.563, 200.0]","[67.7158203125, -9.910215377807617]"
"[81.89, -252.03, 0.031, 656.381, 810.563, 200.0]","[63.2161979675293, -7.307887554168701]"
"[-78.49, -241.568, 0.031, 656.381, 810.563, 200.0]","[55.142669677734375, -6.539384841918945]"
"[-175.557, -127.549, 0.031, 656.381, 810.563, 200.0]","[49.68330383300781, -8.091109275817871]"
"[-141.103, -1.339, 0.031, 656.381, 810.563, 200.0]","[46.700321197509766, -9.506559371948242]"
"[-31.153, 42.878, 0.031, 656.381, 810.563, 200.0]","[48.69208908081055, -10.048826217651367]"
"[-78.49, -241.568, 0.031, -1180.898, 229.543, 200.0]","[157.92608642578125, -9.136016845703125]"
"[-167.386, -54.387, 0.031, -1180.898, 229.543, 200.0]","[164.8075408935547, -8.91308879852295]"
"[-232.188, 168.694, 0.031, -1180.898, 229.543, 200.0]","[175.05690002441406, -11.024801254272461]"
"[174.043, 56.55, 0.031, -1180.898, 229.543, 200.0]","[172.28726196289062, -6.632606029510498]"
"[250.0, 0.0, 0.031, -1180.898, 229.543, 200.0]","[171.4898681640625, -6.767869472503662]"
"[-86.834, 267.247, 0.031, -1180.898, 229.543, 200.0]","[182.23876953125, -9.319772720336914]"
"[85.756, -62.305, 0.031, 816.191, 761.11, 200.0]","[46.81991195678711, -8.715829849243164]"
"[-221.596, 72.001, 0.031, 816.191, 761.11, 200.0]","[32.52329635620117, -8.650615692138672]"
"[-123.78, 89.931, 0.031, 816.191, 761.11, 200.0]","[35.311737060546875, -7.7307586669921875]"
"[-86.834, 267.247, 0.031, 816.191, 761.11, 200.0]","[27.993045806884766, -8.644227981567383]"
"[78.49, -241.568, 0.031, 816.191, 761.11, 200.0]","[55.29443359375, -7.606855869293213]"
"[-38.67, 125.184, 0.031, 816.191, 761.11, 200.0]","[38.332820892333984, -10.319132804870605]"
"[72.619, 223.498, 0.031, 816.191, 761.11, 200.0]","[37.72483444213867, -10.658169746398926]"
"[329.0, 0.0, 0.031, 816.191, 761.11, 200.0]","[56.060302734375, -10.206995964050293]"
"[258.687, 84.053, 0.031, 828.987, -647.676, 200.0]","[310.0671691894531, -10.642509460449219]"
"[329.0, 0.0, 0.031, 828.987, -647.676, 200.0]","[310.24383544921875, -11.303322792053223]"
"[221.596, -72.001, 0.031, 828.987, -647.676, 200.0]","[317.4520568847656, -13.405930519104004]"
"[106.977, -147.241, 0.031, 828.987, -647.676, 200.0]","[324.8070983886719, -11.639103889465332]"
"[0.0, -145.0, 0.031, 828.987, -647.676, 200.0]","[327.9635009765625, -11.537373542785645]"
"[-30.902, -95.106, 0.031, 828.987, -647.676, 200.0]","[326.9180603027344, -9.182665824890137]"
"[195.732, 269.403, 0.031, 828.987, -647.676, 200.0]","[304.6770935058594, -8.804101943969727]"
"[240.617, 78.181, 0.031, 828.987, -647.676, 200.0]","[307.1297912597656, -11.676200866699219]"
"[221.596, -72.001, 0.031, -1046.473, -241.597, 200.0]","[186.95968627929688, -8.70241641998291]"
"[106.977, -147.241, 0.031, -1046.473, -241.597, 200.0]","[183.74647521972656, -10.88808822631836]"
"[0.0, -145.0, 0.031, -1046.473, -241.597, 200.0]","[186.87586975097656, -9.981892585754395]"
"[-54.204, -39.382, 0.031, -1046.473, -241.597, 200.0]","[189.81198120117188, -10.279464721679688]"
"[-333.0, -0.0, 0.031, -1046.473, -241.597, 200.0]","[199.30792236328125, -14.714436531066895]"
"[-163.582, 53.151, 0.031, -1046.473, -241.597, 200.0]","[196.2281036376953, -11.887709617614746]"
"[97.891, 71.122, 0.031, -1046.473, -241.597, 200.0]","[196.78787231445312, -10.904191970825195]"
"[240.617, 78.181, 0.031, -1046.473, -241.597, 200.0]","[194.00157165527344, -8.316141128540039]"
"[-54.204, -39.382, 0.031, -1038.346, -552.099, 200.0]","[208.32533264160156, -9.286626815795898]"
"[-65.244, 89.801, 0.031, -1038.346, -552.099, 200.0]","[214.76182556152344, -8.358339309692383]"
"[-0.0, 229.0, 0.031, -1038.346, -552.099, 200.0]","[216.9378662109375, -8.029973030090332]"
"[240.617, 78.181, 0.031, -1038.346, -552.099, 200.0]","[205.28897094726562, -6.526379108428955]"
"[0.0, -88.0, 0.031, -1038.346, -552.099, 200.0]","[203.72157287597656, -9.026773452758789]"
"[-46.435, -63.912, 0.031, -1038.346, -552.099, 200.0]","[205.65792846679688, -9.92054557800293]"
"[-236.0, -0.0, 0.031, -1038.346, -552.099, 200.0]","[214.1072540283203, -11.383971214294434]"
"[-118.145, 162.612, 0.031, -1038.346, -552.099, 200.0]","[218.8622589111328, -8.584975242614746]"
"[-0.0, 221.0, 0.031, -1038.346, -552.099, 200.0]","[218.14247131347656, -8.062400817871094]"
"[72.928, 224.449, 0.031, -1038.346, -552.099, 200.0]","[215.0560760498047, -7.636153697967529]"
"[256.785, -83.435, 0.031, -947.182, 713.752, 200.0]","[146.5913848876953, -7.116579532623291]"
"[219.244, -159.29, 0.031, -947.182, 713.752, 200.0]","[142.71026611328125, -6.805839538574219]"
"[-188.501, -136.954, 0.031, -947.182, 713.752, 200.0]","[130.48727416992188, -9.45482063293457]"
"[-236.0, -0.0, 0.031, -947.182, 713.752, 200.0]","[135.10101318359375, -9.740692138671875]"
