Input_data,Angle,Evaluation
"[218.0, 377.587, 0.031, 30.694, 36.057, 156.063]","[243.81809997558594, -20.3662166595459]"
"[641.027, 711.933, 0.031, 30.694, 36.057, 156.063]","[229.192138671875, -7.818239212036133]"
"[497.545, 361.488, 0.031, 30.694, 36.057, 156.063]","[216.58578491210938, -14.757980346679688]"
"[240.262, 106.972, 0.031, 30.694, 36.057, 156.063]","[201.10096740722656, -37.38623046875]"
"[415.0, 0.0, 0.031, 30.694, 36.057, 156.063]","[174.31661987304688, -20.95738983154297]"
"[385.516, -171.643, 0.031, 30.694, 36.057, 156.063]","[145.83859252929688, -19.385759353637695]"
"[689.283, -500.793, 0.031, 30.694, 36.057, 156.063]","[141.55931091308594, -9.36071491241455]"
"[456.347, -506.825, 0.031, 30.694, 36.057, 156.063]","[128.81710815429688, -10.890467643737793]"
"[222.0, -384.515, 0.031, 30.694, 36.057, 156.063]","[114.95867156982422, -16.255760192871094]"
"[144.311, -444.143, 0.031, 30.694, 36.057, 156.063]","[101.84024047851562, -16.874696731567383]"
"[28.536, -271.504, 0.031, 30.694, 36.057, 156.063]","[91.78006744384766, -27.20902442932129]"
"[-291.246, -211.603, 0.031, 30.694, 36.057, 156.063]","[34.074623107910156, -18.78736686706543]"
"[-717.96, -152.607, 0.031, 30.694, 36.057, 156.063]","[15.357234001159668, -10.57729434967041]"
"[-420.603, 89.402, 0.031, 30.694, 36.057, 156.063]","[355.0823059082031, -18.425582885742188]"
"[-411.095, 183.031, 0.031, 30.694, 36.057, 156.063]","[340.4075927734375, -18.553451538085938]"
"[-315.83, 350.764, 0.031, 30.694, 36.057, 156.063]","[314.67510986328125, -17.56780242919922]"
"[-236.5, 409.63, 0.031, 30.694, 36.057, 156.063]","[305.0794677734375, -18.3625545501709]"
"[-60.417, 574.834, 0.031, 30.694, 36.057, 156.063]","[279.0304260253906, -15.508390426635742]"
"[287.386, 884.483, 0.031, 30.694, 36.057, 156.063]","[254.90011596679688, -8.791800498962402]"
"[444.972, 494.191, 0.031, 30.694, 36.057, 156.063]","[231.40985107421875, -13.747756004333496]"
"[593.0, 0.0, 0.031, 30.694, 36.057, 156.063]","[177.24581909179688, -13.511224746704102]"
"[495.921, -105.411, 0.031, -85.292, -94.803, 51.974]","[182.1737518310547, -3.1996424198150635]"
"[689.283, -500.793, 0.031, -85.292, -94.803, 51.974]","[153.55606079101562, -1.5636591911315918]"
"[456.347, -506.825, 0.031, -85.292, -94.803, 51.974]","[142.3391571044922, -3.797001361846924]"
"[222.0, -384.515, 0.031, -85.292, -94.803, 51.974]","[139.41403198242188, -6.860135078430176]"
"[144.311, -444.143, 0.031, -85.292, -94.803, 51.974]","[123.08556365966797, -5.095976829528809]"
"[28.536, -271.504, 0.031, -85.292, -94.803, 51.974]","[122.89176177978516, -14.777649879455566]"
"[-55.505, -528.091, 0.031, -85.292, -94.803, 51.974]","[95.91439819335938, -5.622725009918213]"
"[-277.5, -480.644, 0.031, -85.292, -94.803, 51.974]","[66.72643280029297, -6.654995918273926]"
"[-341.257, -379.004, 0.031, -85.292, -94.803, 51.974]","[48.937721252441406, -5.985705375671387]"
"[-291.246, -211.603, 0.031, -85.292, -94.803, 51.974]","[26.746780395507812, -11.717010498046875]"
"[-420.603, 89.402, 0.031, -85.292, -94.803, 51.974]","[332.4136657714844, -6.059226989746094]"
"[-236.5, 409.63, 0.031, -85.292, -94.803, 51.974]","[284.1797790527344, -4.049681663513184]"
"[-60.417, 574.834, 0.031, -85.292, -94.803, 51.974]","[267.5861511230469, -2.5437161922454834]"
"[50.905, 484.332, 0.031, -85.292, -94.803, 51.974]","[257.0908508300781, -3.2583043575286865]"
"[355.0, -614.878, 0.031, -85.292, -94.803, 51.974]","[132.9715118408203, -2.973860502243042]"
"[-270.39, -832.174, 0.031, -85.292, -94.803, 51.974]","[78.48155975341797, -1.556657075881958]"
"[-228.5, -395.774, 0.031, -85.292, -94.803, 51.974]","[68.08699035644531, -8.988119125366211]"
"[-951.738, -202.298, 0.031, -85.292, -94.803, 51.974]","[5.776108741760254, -2.321112871170044]"
"[-302.5, 523.945, 0.031, -85.292, -94.803, 51.974]","[291.96734619140625, -2.3690028190612793]"
"[74.947, 713.072, 0.031, -85.292, -94.803, 51.974]","[258.0470275878906, -1.681406855583191]"
